Type Vendor
ID 10003


Buying 7

Buying_0_ID 1056
Buying_0_Cost 1

Buying_1_ID 1057
Buying_1_Cost 2

Buying_2_ID 1051
Buying_2_Cost 5

Buying_3_ID 1052
Buying_3_Cost 10

Buying_4_ID 1053
Buying_4_Cost 20

Buying_5_ID 1054
Buying_5_Cost 50

Buying_6_ID 1055
Buying_6_Cost 100

------------------------

Selling 7

Selling_0_ID 1056
Selling_0_Cost 1

Selling_1_ID 1057
Selling_1_Cost 2

Selling_2_ID 1051
Selling_2_Cost 5

Selling_3_ID 1052
Selling_3_Cost 10

Selling_4_ID 1053
Selling_4_Cost 20

Selling_5_ID 1054
Selling_5_Cost 50

Selling_6_ID 1055
Selling_6_Cost 100
