Type Vendor
ID 10033

Selling 25

###Boissons 6###

Selling_0_ID 14
Selling_0_Cost 40

Selling_1_ID 80
Selling_1_Cost 35

Selling_2_ID 91
Selling_2_Cost 25

Selling_3_ID 463
Selling_3_Cost 50

Selling_4_ID 465
Selling_4_Cost 40

Selling_5_ID 462
Selling_5_Cost 50

###Boites De Conserves###

Selling_10_ID 13
Selling_10_Cost 70

Selling_11_ID 77
Selling_11_Cost 60

Selling_12_ID 78
Selling_12_Cost 70

Selling_13_ID 87
Selling_13_Cost 80

Selling_14_ID 88
Selling_14_Cost 70

Selling_15_ID 89
Selling_15_Cost 60

Selling_16_ID 90
Selling_16_Cost 80

Selling_17_ID 79
Selling_17_Cost 70

###Sandwich###

Selling_20_ID 461
Selling_20_Cost 50

Selling_21_ID 466
Selling_21_Cost 40

Selling_22_ID 467
Selling_22_Cost 50

Selling_23_ID 468
Selling_23_Cost 60

Selling_24_ID 1398
Selling_24_Cost 50

Selling_25_ID 1400
Selling_25_Cost 40

Selling_26_ID 1401
Selling_26_Cost 50

Selling_27_ID 1402
Selling_27_Cost 60

###Divers###

Selling_30_ID 1163
Selling_30_Cost 40

Selling_31_ID 1164
Selling_31_Cost 50

Selling_32_ID 1161
Selling_32_Cost 60
